id,totalsteps,totaldistance,trackerdistance,loggedactivitiesdistance,veryactivedistance,moderatelyactivedistance,lightactivedistance,sedentaryactivedistance,veryactiveminutes,fairlyactiveminutes,lightlyactiveminutes,sedentaryminutes,calories,date,day_of_week,type
1503960366,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,2016-04-12T05:00:00Z,Tuesday,Highly Active
1503960366,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.7100000380000004,0,21,19,217,776,1797,2016-04-13T05:00:00Z,Wednesday,Active
1503960366,10460,6.739999771,6.739999771,0,2.4400000570000002,0.400000006,3.910000086,0,30,11,181,1218,1776,2016-04-14T05:00:00Z,Thursday,Active
1503960366,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,2016-04-15T05:00:00Z,Friday,Active
1503960366,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.0399999619999996,0,36,10,221,773,1863,2016-04-16T05:00:00Z,Saturday,Highly Active
1503960366,9705,6.480000019,6.480000019,0,3.1900000570000002,0.779999971,2.50999999,0,38,20,164,539,1728,2016-04-17T05:00:00Z,Sunday,Active
1503960366,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.7100000380000004,0,42,16,233,1149,1921,2016-04-18T05:00:00Z,Monday,Highly Active
1503960366,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,2016-04-19T05:00:00Z,Tuesday,Highly Active
1503960366,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,2016-04-20T05:00:00Z,Wednesday,Active
1503960366,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,2016-04-21T05:00:00Z,Thursday,Active
1503960366,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,2016-04-22T05:00:00Z,Friday,Highly Active
1503960366,14371,9.039999962,9.039999962,0,2.8099999429999998,0.870000005,5.360000134,0,41,21,262,732,1949,2016-04-23T05:00:00Z,Saturday,Highly Active
1503960366,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,2016-04-24T05:00:00Z,Sunday,Active
1503960366,15355,9.800000191,9.800000191,0,5.2899999619999996,0.569999993,3.9400000570000002,0,73,14,216,814,2013,2016-04-25T05:00:00Z,Monday,Highly Active
1503960366,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.5399999619999996,0,31,23,279,833,1970,2016-04-26T05:00:00Z,Tuesday,Highly Active
1503960366,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159,2016-04-27T05:00:00Z,Wednesday,Highly Active
1503960366,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,2016-04-28T05:00:00Z,Thursday,Highly Active
1503960366,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,2016-04-29T05:00:00Z,Friday,Active
1503960366,14673,9.25,9.25,0,3.5599999429999998,1.419999957,4.269999981,0,52,34,217,712,1947,2016-04-30T05:00:00Z,Saturday,Highly Active
1503960366,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,2016-05-01T05:00:00Z,Sunday,Active
1503960366,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004,2016-05-02T05:00:00Z,Monday,Highly Active
1503960366,15103,9.659999847,9.659999847,0,3.7300000190000002,1.049999952,4.8800001140000004,0,50,24,254,816,1990,2016-05-03T05:00:00Z,Tuesday,Highly Active
1503960366,11100,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,0,36,22,203,1179,1819,2016-05-04T05:00:00Z,Wednesday,Active
1503960366,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.8800001140000004,0,45,24,250,857,1959,2016-05-05T05:00:00Z,Thursday,Highly Active
1503960366,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,2016-05-06T05:00:00Z,Friday,Highly Active
1503960366,11992,7.7100000380000004,7.7100000380000004,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,2016-05-07T05:00:00Z,Saturday,Active
1503960366,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.7300000190000002,0,44,8,203,574,1740,2016-05-08T05:00:00Z,Sunday,Active
1503960366,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206,835,1819,2016-05-09T05:00:00Z,Monday,Highly Active
1503960366,12207,7.769999981,7.769999981,0,3.3499999049999998,1.159999967,3.25999999,0,46,31,214,746,1859,2016-05-10T05:00:00Z,Tuesday,Highly Active
1503960366,12770,8.130000114,8.130000114,0,2.5599999429999998,1.00999999,4.550000191,0,36,23,251,669,1783,2016-05-11T05:00:00Z,Wednesday,Highly Active
1503960366,0,0,0,0,0,0,0,0,0,0,0,1440,0,2016-05-12T05:00:00Z,Thursday,Sedentary
1624580081,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432,2016-04-12T05:00:00Z,Tuesday,Active
1624580081,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411,2016-04-13T05:00:00Z,Wednesday,Fairly Active
1624580081,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236,1204,1572,2016-04-14T05:00:00Z,Thursday,Active
1624580081,1510,0.980000019,0.980000019,0,0,0,0.970000029,0,0,0,96,1344,1344,2016-04-15T05:00:00Z,Friday,Sedentary
1624580081,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463,2016-04-16T05:00:00Z,Saturday,Fairly Active
1624580081,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276,1554,2016-04-17T05:00:00Z,Sunday,Fairly Active
1624580081,10536,7.409999847,7.409999847,0,2.1500000950000002,0.620000005,4.6199998859999996,0.01,17,7,202,1214,1604,2016-04-18T05:00:00Z,Monday,Active
1624580081,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435,2016-04-19T05:00:00Z,Tuesday,Sedentary
1624580081,4974,3.2300000190000002,3.2300000190000002,0,0,0,3.2300000190000002,0,0,0,151,1289,1446,2016-04-20T05:00:00Z,Wednesday,Sedentary
1624580081,6349,4.1300001140000004,4.1300001140000004,0,0,0,4.110000134,0.02,0,0,186,1254,1467,2016-04-21T05:00:00Z,Thursday,Fairly Active
1624580081,4026,2.619999886,2.619999886,0,0,0,2.5999999049999998,0,0,0,199,1241,1470,2016-04-22T05:00:00Z,Friday,Sedentary
1624580081,8538,5.550000191,5.550000191,0,0,0,5.5399999619999996,0.01,0,0,227,1213,1562,2016-04-23T05:00:00Z,Saturday,Active
1624580081,6076,3.950000048,3.950000048,0,1.149999976,0.910000026,1.889999986,0,16,18,185,1221,1617,2016-04-24T05:00:00Z,Sunday,Fairly Active
1624580081,6497,4.21999979,4.21999979,0,0,0,4.199999809,0.02,0,0,202,1238,1492,2016-04-25T05:00:00Z,Monday,Fairly Active
1624580081,2826,1.840000033,1.840000033,0,0,0,1.830000043,0.01,0,0,140,1300,1402,2016-04-26T05:00:00Z,Tuesday,Sedentary
1624580081,8367,5.440000057,5.440000057,0,1.110000014,1.870000005,2.460000038,0,17,36,154,1233,1670,2016-04-27T05:00:00Z,Wednesday,Active
1624580081,2759,1.789999962,1.789999962,0,0,0.200000003,1.600000024,0,0,5,115,1320,1401,2016-04-28T05:00:00Z,Thursday,Sedentary
1624580081,2390,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,150,1290,1404,2016-04-29T05:00:00Z,Friday,Sedentary
1624580081,6474,4.300000191,4.300000191,0,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182,1655,2016-04-30T05:00:00Z,Saturday,Fairly Active
1624580081,36019,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.02,186,63,171,1020,2690,2016-05-01T05:00:00Z,Sunday,Highly Active
1624580081,7155,4.929999828,4.929999828,0,0.860000014,0.589999974,3.470000029,0,7,6,166,1261,1497,2016-05-02T05:00:00Z,Monday,Fairly Active
1624580081,2100,1.370000005,1.370000005,0,0,0,1.340000033,0.02,0,0,96,1344,1334,2016-05-03T05:00:00Z,Tuesday,Sedentary
1624580081,2193,1.429999948,1.429999948,0,0,0,1.419999957,0,0,0,118,1322,1368,2016-05-04T05:00:00Z,Wednesday,Sedentary
1624580081,2470,1.610000014,1.610000014,0,0,0,1.580000043,0.02,0,0,117,1323,1370,2016-05-05T05:00:00Z,Thursday,Sedentary
